,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
total_acci,4628,6311,6694,8256,10634,11055,10751,9793,10528,10489,11642,14713,14207,14576,12099,12143,14818,13990,15185,13402,10050
fatal_abs,88,83,78,65,81,82,93,103,90,91,77,104,75,92,69,105,112,122,146,152,147
no_fatal_abs,1016,1247,1122,1374,1301,1000,1394,1468,1412,1367,1304,1617,1449,1341,1051,986,975,979,987,991,836
material_abs,3524,4981,5494,6817,9252,9973,9264,8222,9026,9031,10261,12992,12683,13143,10979,11052,13731,12889,14052,12259,9067
enero,419,371,243,601,759,979,913,874,801,787,889,1253,1137,1217,1070,869,1292,984,1255,1201,875
febrero,338,376,503,781,766,898,819,770,948,787,808,1143,1084,1128,1011,861,1394,988,1163,1280,1019
marzo,427,483,614,668,894,880,981,881,820,829,823,1310,1296,1360,1058,907,1267,1146,1350,1337,902
abril,371,504,605,619,799,899,920,808,814,829,866,1122,1105,1042,989,861,1290,1053,1222,1120,699
mayo,397,565,613,705,879,904,910,796,907,923,723,1248,1194,1347,1098,812,1343,1006,1203,1175,673
junio,363,586,625,678,797,953,976,756,799,930,797,1248,1244,1291,1012,846,1135,1086,1303,1048,775
julio,329,587,436,639,925,749,867,664,714,825,821,1195,1071,1100,948,766,1262,992,1230,976,840
agosto,341,573,600,712,894,871,891,739,932,821,1069,1229,1212,1084,970,803,1242,1275,1305,1055,849
septiembre,428,640,694,589,969,916,875,894,866,838,1090,1176,1168,1133,918,1039,1137,1324,1099,1025,811
octubre,443,514,471,774,992,1043,911,859,1018,1002,1349,1339,1261,1320,1026,1344,1131,1360,1389,1054,934
noviembre,290,503,626,730,1007,931,819,851,923,878,1150,1179,1277,1159,961,1337,1184,1356,1370,1068,830
diciembre,482,609,664,760,953,1032,869,901,986,1040,1257,1271,1158,1395,1038,1698,1141,1420,1296,1063,843
lunes,635,938,897,1134,1512,1518,1405,1316,1434,1386,1498,2018,2029,1996,1618,1568,2126,2006,2204,1896,1346
martes,621,828,894,1182,1351,1538,1431,1248,1420,1386,1471,1973,1923,1974,1557,1641,2016,1905,2092,1835,1234
miercoles,597,858,928,1082,1431,1500,1440,1256,1453,1371,1580,1916,1805,1901,1646,1553,2077,1920,2048,1798,1317
jueves,644,870,940,1099,1425,1451,1373,1288,1395,1399,1589,1942,1953,1984,1575,1747,2108,1964,2086,1832,1322
viernes,732,1002,1122,1368,1779,1765,1726,1562,1695,1735,1870,2299,2265,2348,1956,1891,2330,2196,2425,2124,1585
sabado,775,1020,1068,1295,1725,1815,1869,1709,1713,1744,1968,2539,2341,2447,2052,2027,2336,2196,2399,2154,1770
domingo,624,795,845,1096,1411,1468,1507,1414,1418,1468,1663,2026,1891,1926,1695,1716,1825,1803,1931,1763,1476
automovil,6212,8285,9926,12281,12825,12254,11316,9902,10527,11004,12813,14979,14758,15667,13421,14489,17449,16227,17218,14535,10567
camioneta_de_pasajeros,322,686,575,608,1644,2581,4191,4135,3695,3680,2562,3311,3168,2687,2187,2300,2465,2311,2533,2764,1870
microbus,221,352,46,326,144,490,170,395,165,69,155,74,52,74,143,208,217,212,124,37,37
camion_urbano_de_pasajeros,160,120,896,865,1533,945,1092,325,873,1051,700,289,631,403,626,937,1441,811,911,945,444
omnibus,352,425,50,129,113,303,280,625,206,268,867,2155,1793,1839,838,159,84,646,695,329,139
camioneta_de_carga,1486,1788,1511,1875,2019,2437,1206,1102,2278,2222,3127,4299,3701,3814,2541,1931,2827,2197,2269,1981,2021
camion_de_carga,420,692,393,436,696,704,722,542,847,750,706,967,856,905,891,1063,1267,1641,2058,1669,1046
tractor,143,244,254,290,383,352,386,442,366,324,348,505,434,459,319,230,348,662,887,701,468
ferrocarril,10,3,2,3,0,0,0,0,13,16,17,16,17,9,7,17,17,18,8,18,6
motocicleta,227,300,259,323,386,430,402,455,453,458,457,774,748,746,733,719,976,904,1157,1199,1075
bicicleta,109,124,101,134,123,116,96,78,67,124,99,161,130,126,82,91,104,80,95,113,99
otro_tipo_de_transporte,147,229,55,29,153,248,201,90,136,157,90,97,87,144,109,86,72,75,98,91,140
hombre,4627,6027,5756,7063,9055,10010,9173,7951,8658,8645,9543,11961,11632,12166,9867,10122,12123,11502,12218,10549,8004
mujer,1,109,629,765,1067,736,1048,1105,1173,1159,1514,1966,1854,1733,1514,1525,2131,1992,2440,2247,1504
fuga,0,175,309,428,512,309,530,737,697,685,585,786,721,677,718,496,564,496,527,606,542
conductor,4546,5218,4268,4090,7099,6457,2870,7581,9925,9783,11366,14041,13624,14185,11691,11553,14020,13231,14530,12816,9548
peaton_o_pasajero,15,34,28,64,38,54,74,95,118,59,27,32,16,35,77,106,171,168,135,147,112
falla_del_vehiculo,40,99,101,122,128,199,202,181,195,238,187,344,386,245,220,204,259,216,254,240,269
mala_condicion_camino,20,28,20,49,40,83,80,50,252,73,41,119,63,51,40,50,120,191,173,144,93
otra,7,932,2277,3931,3329,4262,7525,1886,38,336,21,177,118,60,71,230,248,184,93,55,28
pavimentada,4353,6045,6476,7983,10299,10750,10577,9646,10347,10299,11511,14428,13964,14231,11812,11904,14511,13769,14987,13265,9928
no_pavimentada,275,266,218,273,335,305,174,147,181,190,131,285,243,345,287,239,307,221,198,137,122
colision_vehiculo,3258,4546,4908,5974,8015,8559,7924,7068,7867,7932,8602,10949,10330,10417,7602,7225,9914,9426,10079,8345,5588
atropellamiento,220,262,231,288,349,329,340,326,279,265,270,341,363,358,299,248,253,273,304,279,240
colision_animal,9,12,8,15,10,25,22,19,18,19,28,17,35,28,20,25,46,39,33,31,44
colision_objeto_fijo,215,322,748,857,910,918,1096,1062,977,946,1318,1555,1480,1712,2414,2986,2318,1884,2203,2340,2370
volcadura,88,77,110,176,158,169,179,201,194,218,216,253,198,184,134,207,235,258,260,261,273
caida_pasajero,29,35,37,37,45,43,40,40,66,50,49,102,110,96,65,77,72,85,88,84,42
salida_camino,537,818,374,479,656,591,713,662,729,666,743,985,1073,1137,893,735,1046,1116,1185,1089,632
incendio,2,4,2,10,2,5,11,14,13,17,12,14,7,4,8,5,13,8,17,10,19
colision_ferrocarril,2,3,1,2,4,11,6,5,13,9,12,8,10,5,3,12,12,15,8,9,3
colision_con_motocicleta,20,63,124,226,250,206,192,271,249,225,271,343,461,489,547,493,730,709,871,829,720
colision_ciclista,23,111,82,117,123,116,96,78,67,88,70,98,90,101,68,77,91,72,91,96,86
otro_tipo_de_accidente,225,58,69,75,112,83,132,47,56,54,51,48,50,45,46,53,88,105,46,29,33
0,117,136,144,206,353,363,392,375,1516,358,434,602,476,449,408,419,435,485,548,466,387
1,129,174,173,178,252,245,242,272,223,260,284,314,275,314,277,298,292,335,329,335,274
2,100,136,132,184,180,222,234,238,199,229,261,306,280,283,271,257,276,286,304,302,225
3,84,159,136,171,196,231,228,238,213,233,268,274,255,260,268,274,271,260,334,270,196
4,87,106,96,130,160,197,195,201,166,199,232,260,272,269,247,268,273,242,278,265,163
5,60,76,65,91,95,146,218,168,172,170,210,292,261,214,219,210,206,213,217,222,122
6,83,75,74,90,138,134,187,166,142,190,218,255,235,258,246,238,242,223,234,219,131
7,101,128,179,220,288,290,387,309,340,403,462,470,469,456,435,422,507,536,489,480,269
8,210,273,354,456,555,665,576,528,532,633,698,911,826,835,697,691,879,794,770,741,433
9,216,348,398,425,550,633,628,522,570,550,683,878,869,913,754,688,931,861,883,747,492
10,220,316,324,377,522,585,508,443,418,496,555,693,644,702,599,591,796,748,825,722,480
11,245,287,333,431,537,531,446,444,411,485,556,689,639,657,573,572,724,627,788,648,507
12,198,312,341,430,520,582,532,455,450,492,499,740,699,709,542,542,645,631,732,614,502
13,225,300,399,457,622,618,526,494,490,496,584,766,714,811,609,647,710,767,837,710,531
14,252,412,464,573,712,690,660,575,579,666,701,951,830,963,738,728,951,872,935,793,635
15,281,396,442,528,677,736,665,574,554,647,760,945,946,929,721,746,910,857,944,868,650
16,243,388,415,518,589,682,586,550,524,526,696,830,900,864,678,691,919,924,931,822,609
17,280,335,367,471,616,570,567,505,499,570,533,763,803,758,658,671,833,702,865,699,570
18,297,342,381,495,532,571,612,494,486,520,496,722,698,729,558,621,697,647,691,582,510
19,239,345,346,432,602,538,567,581,525,602,686,781,800,816,666,639,893,847,844,751,579
20,284,376,328,414,615,555,569,503,501,590,615,771,746,806,678,642,803,739,776,702,559
21,220,325,314,375,542,544,526,470,433,499,528,684,713,712,520,581,721,610,711,591,471
22,232,303,260,322,450,433,413,403,340,394,426,518,537,539,454,451,567,480,557,521,447
23,225,263,229,282,331,294,287,285,245,281,257,298,320,330,283,256,337,304,363,332,308
menor_de_xviii,81,77,130,173,97,99,120,192,222,210,232,250,247,260,172,143,202,151,151,124,112
xviii_a_xxx,3829,5159,4641,5455,8639,9177,8116,5826,5694,3863,4567,5886,5447,5525,4445,4471,5013,4617,4878,4598,3343
xxx_a_xl,276,521,889,1223,802,806,1108,1692,2159,2116,2686,3723,3682,4126,3203,2912,3527,3221,3346,3133,2320
xl_a_lx,393,514,851,1167,757,774,1052,1607,2075,2027,2620,3548,3491,4021,3113,2780,3355,3089,3205,3053,2221
mas_de_lx,613,784,1410,1888,1184,1273,1731,2665,3449,3426,4510,5990,5996,6643,5614,5233,6166,5858,6208,5927,4458
edad_no_especificada,0,175,309,428,512,309,530,717,685,2516,1767,1730,1644,1356,1216,1636,2646,2666,3208,2042,1609