fatal_abs,no_fatal_abs,material_abs,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
1.901469317,21.95332757,76.14520311,9.053586863,7.303370787,9.22644771,8.01642178,8.578219533,7.843560933,7.108902334,7.368193604,9.248055315,9.572169404,6.266205704,10.41486603
1.315163999,19.75915069,78.92568531,5.878624624,5.957851371,7.653303755,7.986056093,8.952622405,9.285374743,9.301220092,9.0793852,10.14102361,8.144509586,7.970210743,9.649817778
1.165222587,16.76127876,82.07349866,3.630116522,7.514191814,9.172393188,9.037944428,9.157454437,9.33671945,6.513295488,8.963250672,10.36749328,7.036151778,9.351658201,9.919330744
0.787306202,16.64244186,82.57025194,7.279554264,9.459786822,8.091085271,7.497577519,8.539244186,8.212209302,7.739825581,8.624031008,7.134205426,9.375,8.842054264,9.205426357
0.76170773,12.23434267,87.0039496,7.137483543,7.203310137,8.406996427,7.513635509,8.26593944,7.49482791,8.6985142,8.406996427,9.112281362,9.328568742,9.469625729,8.961820576
0.741745816,9.045680687,90.2125735,8.855721393,8.123021257,7.960199005,8.132066938,8.177295341,8.620533695,6.775214835,7.878787879,8.28584351,9.434644957,8.42152872,9.335142469
0.865035811,12.9662357,86.16872849,8.492233281,7.61789601,9.124732583,8.557343503,8.4643289,9.078225281,8.064366105,8.287601153,8.138777788,8.47363036,7.61789601,8.082969026
1.051771674,14.99029919,83.95792913,8.924742163,7.862759114,8.996221791,8.250791382,8.128254876,7.719799857,6.780353314,7.546206474,9.128969672,8.771571531,8.689880527,9.200449301
0.854863222,13.4118541,85.73328267,7.608282675,9.004559271,7.788753799,7.731762918,8.615121581,7.589285714,6.781914894,8.852583587,8.225683891,9.669452888,8.767097264,9.36550152
0.867575555,13.03270092,86.09972352,7.503098484,7.503098484,7.903517971,7.903517971,8.799694918,8.8664315,7.865382782,7.827247593,7.989322147,9.552864906,8.370674039,9.915149204
0.661398385,11.2008246,88.13777701,7.636144992,6.940388249,7.069232091,7.438584436,6.210273149,6.845902766,7.052052912,9.182271087,9.362652465,11.58735612,9.87802783,10.7971139
0.706857881,10.9902807,88.30286142,8.516278121,7.768639978,8.903690614,7.62590906,8.482294569,8.482294569,8.122068919,8.353157072,7.992931421,9.100795215,8.013321552,8.638618908
0.527908777,10.19919758,89.27289364,8.003097065,7.630041529,9.122263673,7.777855986,8.404307736,8.756246921,7.538537341,8.531005842,8.221299359,8.875906243,8.988526783,8.150911522
0.631174533,9.200054885,90.16877058,8.349341383,7.738748628,9.330406147,7.148737651,9.241218441,8.857025247,7.546652031,7.436882547,7.773051592,9.055982437,7.951427003,9.570526894
0.570295066,8.68666832,90.74303661,8.843706091,8.356062485,8.744524341,8.174229275,9.075130176,8.36432763,7.835358294,8.017191503,7.587403918,8.480039673,7.942805191,8.579221423
0.864695709,8.119904472,91.01539982,7.156386395,7.090504818,7.46932389,7.090504818,6.686980153,6.966976859,6.30816108,6.612863378,8.556369925,11.06810508,11.0104587,13.9833649
0.755837495,6.579835335,92.66432717,8.719125388,9.407477392,8.550411661,8.70562829,9.06330139,7.659603185,8.516668916,8.381697935,7.673100283,7.632608989,7.990282089,7.70009448
0.872051465,6.997855611,92.13009292,7.033595425,7.062187277,8.191565404,7.526804861,7.190850608,7.762687634,7.090779128,9.113652609,9.463902788,9.72122945,9.692637598,10.15010722
0.96147514,6.499835364,92.5386895,8.264734936,7.658873889,8.890352321,8.047415212,7.922291735,8.580836352,8.100098782,8.594007244,7.237405334,9.147184722,9.022061245,8.534738229
1.134159081,7.394418743,91.47142218,8.961349052,9.550813311,9.976122967,8.356961648,8.767348157,7.819728399,7.28249515,7.871959409,7.648112222,7.864497836,7.968959857,7.931651992
1.462686567,8.31840796,90.21890547,8.706467662,10.13930348,8.975124378,6.955223881,6.696517413,7.711442786,8.358208955,8.447761194,8.069651741,9.293532338,8.258706468,8.388059701